epoch,acc,loss,val_acc,val_loss
0,0.7708082025819003,0.4750586275923525,0.8607954599640586,0.32382960753007367
1,0.9644149584994529,0.10467676227896579,0.9829545508731495,0.0378102453594858
2,0.9433051891292392,0.17326103055577802,0.9857954491268505,0.03698369149457325
3,0.9837153203093387,0.04790875874684429,0.8977272727272727,0.35481227257035
4,0.9740651385775522,0.08265431191147596,0.8295454545454546,0.5187596841291948
5,0.9716525956431113,0.08757904115772218,0.9886363636363636,0.025280070914463562
6,0.9764776846755687,0.07832523608362287,0.9914772673086687,0.032800616188482803
7,0.9849215922798552,0.04414952778065323,0.9971590854904868,0.02057953178882599
8,0.9933655006031363,0.019917271651588245,0.9943181818181818,0.011293250728737225
9,0.9837153216754283,0.056762053034705336,0.9687499945813959,0.112151484597813
10,0.992762365013325,0.0237599150968583,0.9971590909090909,0.011000400959429417
11,0.9933655013221309,0.02104506713301123,0.9971590854904868,0.01291621205481616
12,0.9897466834692961,0.03186116866380947,0.9914772673086687,0.020515660670670597
13,0.9963811828661597,0.009018165388552357,0.9943181872367859,0.013704944782975044
14,0.9939686354020536,0.017819880759534487,0.9034090854904868,0.3663569228215651
